b g r count
0 10 118 2
0 10 121 1
0 10 122 5
0 10 124 4
0 10 127 1
0 10 128 2
0 10 130 2
0 10 131 2
0 10 132 6
0 10 133 1
0 10 134 10
0 10 138 2
0 10 140 1
0 10 141 2
0 10 144 2
0 10 147 2
0 10 148 3
0 10 152 2
0 10 154 1
0 10 158 2
0 10 164 1
0 11 57 1
0 11 60 1
0 11 87 1
0 11 95 1
0 11 119 1
0 11 123 3
0 11 125 1
0 11 128 1
0 11 131 1
0 11 132 2
0 11 133 3
0 11 135 4
0 11 137 2
0 11 139 2
0 11 143 1
0 11 149 1
0 11 151 1
0 11 153 1
0 11 155 1
0 12 50 1
0 12 120 1
0 12 122 1
0 12 128 3
0 12 129 1
0 12 130 3
0 12 132 1
0 12 134 3
0 12 136 1
0 12 142 2
0 12 144 1
0 12 152 1
0 12 154 3
0 12 160 1
0 13 50 1
0 13 56 1
0 13 102 1
0 13 121 1
0 13 129 3
0 13 130 1
0 13 131 2
0 13 134 1
0 13 135 4
0 13 154 1
0 13 156 2
0 13 159 3
0 13 164 1
0 13 169 1
0 14 50 1
0 14 53 1
0 14 70 1
0 14 97 2
0 14 116 1
0 14 130 1
0 14 132 1
0 14 134 3
0 14 135 1
0 14 136 3
0 14 150 1
0 14 154 1
0 14 167 1
0 14 197 1
0 15 44 1
0 15 68 1
0 15 115 1
0 15 128 1
0 15 137 3
0 15 138 1
0 15 160 1
0 15 162 1
0 15 166 1
0 16 45 1
0 16 51 1
0 16 63 1
0 16 93 1
0 16 129 1
0 16 131 1
0 16 136 1
0 16 158 1
0 17 60 1
0 17 116 1
0 17 134 1
0 17 146 1
0 17 168 1
0 19 62 1
0 19 64 1
0 19 152 1
0 20 50 1
0 20 61 1
0 20 65 1
0 20 78 1
0 20 152 1
0 20 182 1
0 21 53 1
0 21 63 1
0 21 130 1
0 22 56 1
0 22 57 1
0 22 62 1
0 22 131 1
0 22 151 1
0 23 83 1
0 24 68 1
0 24 74 1
0 26 57 1
0 26 73 1
0 27 61 1
0 27 81 1
0 27 84 1
0 28 58 1
0 28 62 1
0 29 76 1
0 31 65 1
0 35 79 1
0 35 83 1
0 40 64 1
0 40 73 1
0 43 67 1
0 45 69 1
0 55 87 1
0 58 90 1
0 66 85 1
0 73 112 1
0 80 120 1
0 83 125 1
0 92 124 1
1 0 47 2
1 0 50 2
1 0 53 1
1 0 54 1
1 0 56 5
1 0 58 1
1 0 59 1
1 0 60 1
1 0 62 5
1 0 63 1
1 0 64 4
1 0 65 1
1 0 66 28
1 0 67 1
1 0 68 26
1 0 69 3
1 0 70 3
1 0 72 34
1 0 74 28
1 0 75 12
1 0 77 4
1 0 79 1
1 0 80 18
1 0 81 18
1 0 86 24
1 0 88 10
1 0 89 6
1 0 90 1
1 0 92 22
1 0 94 14
1 0 95 3
1 0 96 62
1 0 98 46
1 0 99 1
1 0 101 1
1 0 103 39
1 0 104 48
1 0 105 11
1 0 110 36
1 0 112 11
1 0 113 1
1 0 116 16
1 0 118 12
1 0 119 3
1 0 120 8
1 0 121 1
1 0 122 5
1 0 135 1
1 0 140 9
1 0 142 6
1 0 143 2
1 0 146 7
1 0 148 16
1 0 149 2
1 0 150 12
1 0 151 1
1 0 152 14
1 0 153 2
1 0 156 31
1 0 158 23
1 0 159 6
1 0 163 21
1 0 164 29
1 0 165 11
1 0 167 1
1 0 170 13
1 0 172 3
1 0 173 1
1 0 174 3
1 0 176 1
1 0 204 1
1 1 55 6
1 1 61 3
1 1 65 8
1 1 71 12
1 1 77 7
1 1 79 27
1 1 85 16
1 1 91 12
1 1 95 37
1 1 101 25
1 1 107 23
1 1 109 21
1 1 115 14
1 1 117 37
1 1 119 34
1 1 125 7
1 1 131 2
1 1 137 1
1 1 139 2
1 1 145 15
1 1 147 3
1 1 149 8
